ID     LAT    LON     Location

Alabama

[FLG]  35.13  111.67  Flagstaff,Arizona
[FHU]  31.60  110.35  Fort Huachuc,Arizona
[GBN]  33.55  113.17  Gila Bend,Arizona
[GYR]  33.42  112.38  Goodyear,Arizona
[GCN]  35.95  112.15  Grand Canyon,Arizona
[IGM]  35.27  113.95  Kingman,Arizona
[LUF]  33.53  112.38  Luke,Arizona
[PGA]  36.93  111.45  Page,Arizona
[0E4]  34.23  111.33  Payson,Arizona
[PHX]  33.43  112.02  Phoenix,Arizona
[PRC]  34.65  112.43  Prescott,Arizona
[E74]  32.82  109.68  Safford Awrs,Arizona
[SDL]  33.62  111.92  Scottsdale,Arizona
[E03]  34.27  110.00  Show Low,Arizona
[SOW]  34.27  110.00  Show Low,Arizona
[TUS]  32.12  110.93  Tucson,Arizona
[CHD]  33.30  111.67  Williams AFB,Arizona
[INW]  35.02  110.73  Winslow,Arizona
[YUM]  33.10  115.00  Yuma,Arizona
[NYL]  32.65  114.62  Yuma Mcas,Arizona
[1Y7]  32.85  114.40  Yuma Prv Gd,Arizona

Arkansas


[BYH]  35.97   89.95  Blytheville,Arkansas
[CDH]  33.52   92.40  Camden,Arkansas
[ELD]  33.22   92.80  El Dorado,Arkansas
[FYV]  36.00   94.17  Fayetteville,Arkansas
[FSM]  35.33   94.37  Ft Smith,Arkansas
[HRO]  36.27   93.15  Harrison,Arkansas
[HOT]  34.48   93.10  Hot Springs,Arkansas
[JBR]  35.83   90.65  Jonesboro,Arkansas
[LIT]  35.22   92.38  Little Rock,Arkansas
[LRF]  34.92   92.15  Little Rock,Arkansas
[LZK]  34.83   92.25  Little Rock,Arkansas
[PBF]  34.17   91.93  Pine Bluff,Arkansas
[ASG]  36.18   94.13  Springdale,Arkansas
[TXK]  33.45   94.00  Texarkana,Arkansas
[ARG]  36.13   90.93  Walnut Ridge,Arkansas

California

[NGZ]  37.78  122.32  Alameda NAS,California
[S11]  41.48  120.53  Alturas,California
[ACV]  40.98  124.10  Arcata,California
[BFL]  35.43  119.05  Bakersfield,California
[BAB]  39.13  121.45  Beale AFB,California
[BUO]  33.93  116.95  Beaumont,California
[BYS]  35.28  116.62  Bicycle Lk,California
[L35]  34.27  116.68  Big Bear Apt,California
[BIH]  37.60  118.60  Bishop,California
[BLU]  39.28  120.70  Blue Canyon,California
[BLH]  33.62  114.72  Blythe,California
[BUR]  34.20  118.37  Burbank,California
[NFG]  33.30  117.35  Camp Pendlet,California
[CZZ]  32.62  116.47  Campo,California
[CRQ]  33.13  117.28  Carlsbad,California
[MER]  37.38  120.57  Castle AFB,California
[CIC]  39.78  121.85  Chico,California
[NID]  35.68  117.68  China Lake,California
[CNO]  33.97  117.63  Chino,California
[CCR]  37.98  122.05  Concord,California
[CEC]  41.78  124.23  Crescent Cty,California
[DAG]  34.87  116.78  Daggett,California
[EDW]  34.90  117.88  Edwards AFB,California
[NJK]  32.82  115.68  El Centro,California
[EMT]  34.08  118.03  El Monte,California
[NZJ]  33.67  117.73  El Toro,California
[EKA]  41.33  124.28  Eureka,California
[HGT]  36.00  121.32  Fort Hunter,California
[OAR]  36.68  121.77  Fort Ord,California
[FAT]  36.77  119.72  Fresno,California
[FUL]  33.87  117.97  Fullerton,California
[VCV]  34.58  117.38  George AFB,California
[HHR]  33.92  118.33  Hawthorne,California
[HWD]  37.65  122.12  Hayward,California
[IPL]  32.83  115.57  Imperial,California
[NRS]  32.57  117.12  Imperial Bch,California
[POC]  34.10  117.78  La Verne,California
[TVL]  38.90  120.00  Lake Tahoe,California
[WJF]  34.73  118.22  Lancaster,California
[NLC]  36.33  119.95  Lemoore NAS,California
